nomDuFilm,annee,realisateur,imdb
L'arroseur arrosé, 1895, Lumière, https://www.imdb.com/title/tt0000014/?ref_=nv_sr_srsg_1_tt_8_nm_0_q_arroseur%2520arros%25C3%25A9
Le Voyage dans la Lune, 1902, Georges Méliès, https://www.imdb.com/title/tt0000417/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_voyage%2520dans%2520la%2520
Felix mayol, 1905, Alice guy, https://www.imdb.com/title/tt1213121/?ref_=nv_sr_srsg_3_tt_7_nm_1_q_polka%2520de
La naissance la vie et la mort du christ, 1906, Alice Guy, https://www.imdb.com/title/tt0139714/?ref_=nm_flmg_c_168_dr
The lonely villa, 1909, David W. Griffith, https://www.imdb.com/title/tt0000942/?ref_=nv_sr_srsg_0_tt_6_nm_2_q_the%2520lonely%2520vi
The Lonedale Operator, 1911, David W. Griffith, https://www.imdb.com/title/tt0001740/?ref_=nv_sr_srsg_0_tt_1_nm_7_q_lonedale
Work, 1915, Charlie Chaplin, https://www.imdb.com/title/tt0006313/
Intolerance, 1916, David W. Griffith, https://www.imdb.com/title/tt0006864/?ref_=nv_sr_srsg_3_tt_8_nm_0_q_intoler
One AM, 1916, Charlie Chaplin,  https://www.imdb.com/title/tt0007145/?ref_=nv_sr_srsg_3_tt_8_nm_0_q_one%2520am
Broken Blossoms, 1919, David Wark Griffith, https://www.imdb.com/title/tt0009968/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_broken%2520bloss
Foolish Wives, 1922, Erich von Stroheim, https://www.imdb.com/title/tt0013140/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_foolish
Nosferatu, 1922, Friedrich W. Murnau, https://www.imdb.com/title/tt0013442/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_nosferat
A Woman of Paris, 1923, Charlie Chaplin, https://www.imdb.com/title/tt0014624/?ref_=nv_sr_srsg_0_tt_6_nm_2_q_a%2520woman%2520of%2520paris
Coeur fidèle, 1923, Jean Epstein, https://www.imdb.com/title/tt0013933/?ref_=nv_sr_srsg_0_tt_7_nm_0_q_coeur%2520fid%25C3%25A8
La Roue, 1923, Abel Gance, https://www.imdb.com/title/tt0014417/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_la%2520roue
Der Letzte Mann, 1924, Friedrich Wilhelm Murnau, https://www.imdb.com/title/tt0015064/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_der%2520letzte%2520man
Les Aventures extraordinaires de Mister West au pays des bolcheviks, 1924, Lev Koulechov, https://www.imdb.com/title/tt0015167/?ref_=nv_sr_srsg_0_tt_1_nm_0_q_mr%2520west%2520au%2520pays
L'Inhumaine, 1924, Marcel L'Herbier, https://www.imdb.com/title/tt0015014/?ref_=nv_sr_srsg_0_tt_5_nm_3_q_l%27inhu
Metropolis, 1927, Fritz Lang, https://www.imdb.com/title/tt0017136/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_metrop
The jazz singer, 1927, Alan Crossland, https://www.imdb.com/title/tt0018037/?ref_=nv_sr_srsg_2_tt_7_nm_1_q_the%2520jazz%2520singer
L'Homme à la caméra, 1929, Dziga Vertov, https://www.imdb.com/title/tt0019760/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_l%27homme%2520%25C3%25A0%2520la%2520cam%25C3%25A9ra
Tagebuch einer Verlorenen, 1929, Georg W. Pabst, https://www.imdb.com/title/tt0020475/?ref_=nv_sr_srsg_1_tt_8_nm_0_q_tagebuch%2520
Un debris de l empire, 1929, Fridrik Elmer, https://www.imdb.com/title/tt0020232/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_un%2520d%25C3%25A9bris%2520de%2520l%27empi
A nous la liberté !, 1931, René Clair, https://www.imdb.com/title/tt0022599/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_a%2520nous%2520la%2520libert%25C3%25A9
Scarface, 1932, Howard Hawks et Richard Rosson, https://www.imdb.com/title/tt0023427/?ref_=nv_sr_srsg_4_tt_5_nm_3_q_scarface%2520
Gold diggers, 1933, Mervyn Le Roy, https://www.imdb.com/title/tt0024069/?ref_=nv_sr_srsg_1_tt_8_nm_0_q_gold%2520diggers
Les Temps modernes, 1936, Charlie Chaplin, https://www.imdb.com/title/tt0027977/?ref_=nv_sr_srsg_0_tt_7_nm_1_q_modern%2520time
Gueule d'amour, 1937, Jean Grémillon, https://www.imdb.com/title/tt0028966/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_gueule%2520d%27am
Bluebeard s eighth wife, 1938, Ernst Lubitsch, https://www.imdb.com/title/tt0029929/?ref_=nv_sr_srsg_0_tt_2_nm_0_q_bluebeards%2520eigh
La Bête humaine, 1938,  Jean Renoir, https://www.imdb.com/title/tt0029957/?ref_=nv_sr_srsg_0_tt_4_nm_0_q_la%2520b%25C3%25AAte%2520humaine
Le Dernier tournant, 1939, Pierre Chenal, https://www.imdb.com/title/tt0031222/?ref_=nv_sr_srsg_0_tt_5_nm_0_q_le%2520dernier%2520tournant
Le Jour se lève, 1939, Marcel Carné, https://www.imdb.com/title/tt0031514/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_le%2520jour%2520se%2520
Stagecoach, 1939, John Ford, https://www.imdb.com/title/tt0031971/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_stagec
Douce, 1943, Claude Autant-Lara, https://www.imdb.com/title/tt0035823/?ref_=nm_flmg_t_30_dr
Phantom Lady, 1944, Robert Siodmak, https://www.imdb.com/title/tt0036260/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_phantom%2520lad
Les Enfants du Paradis, 1946, Marcel Carné, https://www.imdb.com/title/tt0037674/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_les%2520enfants%2520du%2520
The Postman Always Rings Twice, 1946, Tay Garnett, https://www.imdb.com/title/tt0038854/?ref_=nv_sr_srsg_2_tt_8_nm_0_q_the%2520postman%2520al
Dark Passage, 1947, Delmer Daves, https://www.imdb.com/title/tt0039302/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_dark%2520passage
La terra trema, 1948, Luchino Visconti, https://www.imdb.com/title/tt0040866/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_la%2520terra
Printemps tardif, 1949, Yasujirō Ozu, https://www.imdb.com/title/tt0041154/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_printemps%2520tar
Une si jolie petite plage, 1949, Yves Allégret, https://www.imdb.com/title/tt0040917/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_une%2520si%2520joli
Umberto D., 1952, Vittorio de Sica, https://www.imdb.com/title/tt0045274/?ref_=nv_sr_srsg_0_tt_5_nm_3_q_umberto%2520d
Singin in the rain, 1952, Gene Kelly, https://www.imdb.com/title/tt0045152/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_singin%2520in%2520the
Les Contes de la lune vague après la pluie, 1953, Kenji Mizoguchi, https://www.imdb.com/title/tt0046478/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_les%2520contes%2520de%2520la%2520lune%2520vague%2520
Senso, 1954, Luchino Visconti, https://www.imdb.com/title/tt0047469/?ref_=nv_sr_srsg_1_tt_8_nm_0_q_senso
La pointe courte, 1955, Agnes Varda, https://www.imdb.com/title/tt0048499/?ref_=nv_sr_srsg_0_tt_7_nm_1_q_point%2520courte
Forbidden Planet, 1956, Fred Wilcox, https://www.imdb.com/title/tt0049223/?ref_=nv_sr_srsg_1_tt_8_nm_0_q_forbi
Ascenseur pour l'échafaud, 1957, Louis Malle, https://www.imdb.com/title/tt0051378/?ref_=nv_sr_srsg_0_tt_4_nm_0_q_ascenceur%2520pour%2520l%27%25C3%25A9
Le notti di Cabiria, 1957, Federico Fellini, https://www.imdb.com/title/tt0050783/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_le%2520notti%2520di
Cendres et diamants, 1958, Andrzej Wajda, ht0tps://www.imdb.com/title/tt0052080/?ref_=nv_sr_srsg_0_tt_1_nm_0_q_cendres%2520et%2520diama
Les Raquetteurs, 1958, Gilles Groulx et Michel Brault, https://www.imdb.com/title/tt0052119/?ref_=nv_sr_srsg_0_tt_5_nm_0_q_les%2520raquetteurs
Hiroshima mon amour, 1959, Alain Resnais, https://www.imdb.com/title/tt0052893/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_hiroshima
Les Quatre Cents Coups, 1959, François Truffaut, https://www.imdb.com/title/tt0053198/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_quatre%2520cent
Moi un noir, 1959, Jean Rouch, https://www.imdb.com/title/tt0051942/?ref_=nv_sr_srsg_0_tt_2_nm_2_q_moi%2520un%2520nori
Rio Bravo, 1959, Howard Hawks, https://www.imdb.com/title/tt0053221/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_rio%2520bravo
A bout de souffle, 1960, Jean-Luc Godard, https://www.imdb.com/title/tt0053472/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_a%2520bout%2520de%2520souff
L'avventura, 1960, Michelangelo Antonini, https://www.imdb.com/title/tt0053619/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_l%27avventura
Primary, 1960, Robert Drew, https://www.imdb.com/title/tt0054205/?ref_=nv_sr_srsg_4_tt_8_nm_0_q_primary%2520dr
Chronique d'un été, 1961, Jean Rouch et Edgar Morin, https://www.imdb.com/title/tt0054745/?ref_=nv_sr_srsg_5_tt_8_nm_0_q_chronique
La Nuit des femmes, 1961, Kinuyo Tanaka, https://www.imdb.com/title/tt0203040/
Yojimbo, 1961, Akira Kurosawa, https://www.imdb.com/title/tt0055630/?ref_=nv_sr_srsg_0_tt_6_nm_2_q_yojim
L as de pique, 1963, Miloš Forman, https://www.imdb.com/title/tt0056919/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_l%27as%2520de%2520piq
Le mepris, 1963, Jean-Luc Godard, https://www.imdb.com/title/tt0057345/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_le%2520meptris
Muriel ou le temps d un retour, 1963, Alain Resnais, https://www.imdb.com/title/tt0057336/?ref_=nv_sr_srsg_0_tt_2_nm_6_q_muriel%2520ou%2520
Les parapluies de cherbourg, 1964, Jacques Demy, https://www.imdb.com/title/tt0058450/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_les%2520parapluies
Les petites marguerites, 1966, Vera Chytilova, https://www.imdb.com/title/tt0060959/?ref_=nv_sr_srsg_0_tt_4_nm_0_q_les%2520petites%2520marguer
Au feu les pompiers !, 1967 , Miloš Forman, https://www.imdb.com/title/tt0061781/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_au%2520feu%2520les%2520
2001 : A Space Odyssey, 1968, Stanley Kubrick, https://www.imdb.com/title/tt0062622/?ref_=nv_sr_srsg_1_tt_8_nm_0_q_2001%2520l
Chronik der Anna Magdalena Bach, 1968, Straub et Huillet, https://www.imdb.com/title/tt0062804/?ref_=nv_sr_srsg_0_tt_2_nm_0_q_chronik%2520der%2520anna
Scène de chasse en Bavière, 1969, Peter Fleischmann, https://www.imdb.com/title/tt0064507/?ref_=nv_sr_srsg_0_tt_7_nm_1_q_sc%25C3%25A8nes%2520de%2520chasse%2520en%2520ba
Charles mort ou vif, 1969, Alain Tanner, https://www.imdb.com/title/tt0064153/?ref_=nv_sr_srsg_0_tt_1_nm_7_q_charles%2520mort%2520ou
L Invitation, 1973, Claude Goretta, https://www.imdb.com/title/tt0070224/?ref_=fn_al_tt_4
Angst essen Seele auf, 1974, Rainer Werner Fassbinder, https://www.imdb.com/title/tt0071141/?ref_=nv_sr_srsg_0_tt_6_nm_2_q_angst%2520esse
India Song, 1975, Marguerite Duras, https://www.imdb.com/title/tt0073166/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_india%2520song
Jonas qui aura 25 ans en l'an 2000, 1976, Alain Tanner, https://www.imdb.com/title/tt0074718/?ref_=nv_sr_srsg_0_tt_1_nm_0_q_jonas%2520qui%2520aura
Les rendez vous d anna, 1978, Chantal Akerman, https://m.imdb.com/title/tt0078152/
Les petites fugues, 1979, Yves Yersin, https://www.imdb.com/title/tt0078080/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_les%2520petites%2520fug
Die Ehe der Maria Braun, 1979, Rainer Werner Fassbinder, https://www.imdb.com/title/tt0079095/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_die%2520ehe%2520
On connait la chanson, 1997, Alain Resnais, https://www.imdb.com/title/tt0119828/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_on%2520connait%2520la%2520
Touch of zen, 1971, King Hu, https://www.imdb.com/title/tt0064451/
Boat People, 1982, Ann Hui, https://www.imdb.com/title/tt0084807/
Fallen Angels, 1995, Wong Kar-Wai, https://www.imdb.com/title/tt0112913/
The Blade, 1995, Tsui Hark, https://www.imdb.com/title/tt0112800/
